==================================================
HEADER
File name: peer_-AA0001-lyY8i2fmn47q.log
Creation Date/Time: 2026-08-08 13:10:47
Last Modified Date/Time: 2026-08-08 13:45:05
==================================================
BODY
Event Type      | Date/Time            | Description
HANDSHAKE_SUCCESS | 2026-08-08 13:27:37  | [Transferring_These_Files/sample3.png] Handshake successful with -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:27:37  | Received Bitfield from 127.0.0.1:6882
FILE_CHECK      | 2026-08-08 13:27:38  | Determined status as LEECHER for Transferring_These_Files
HANDSHAKE_SEND  | 2026-08-08 13:27:38  | [Transferring_These_Files] Initiating handshake with 127.0.0.1:6882
HANDSHAKE_SUCCESS | 2026-08-08 13:27:38  | [Transferring_These_Files] Handshake successful with -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:27:38  | Received Bitfield from 127.0.0.1:6882
SYSTEM_READY    | 2026-08-08 13:27:39  | All torrent threads processed. Entering heartbeat loop.
HANDSHAKE_RECV  | 2026-08-08 13:27:59  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:27:59  | Received Bitfield from 127.0.0.1:11733
HANDSHAKE_RECV  | 2026-08-08 13:28:00  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:28:00  | Received Bitfield from 127.0.0.1:11739
PING_RECV       | 2026-08-08 13:28:01  | Received PING from ('127.0.0.1', 11740)
ANNOUNCE        | 2026-08-08 13:28:07  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:28:08  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:28:09  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:28:09  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:28:10  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 29.03 ms
HANDSHAKE_RECV  | 2026-08-08 13:28:11  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:28:11  | Received Bitfield from 127.0.0.1:11751
HANDSHAKE_RECV  | 2026-08-08 13:28:12  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:28:12  | Received Bitfield from 127.0.0.1:11755
ANNOUNCE        | 2026-08-08 13:28:37  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:28:38  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:28:40  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:28:40  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_FAIL       | 2026-08-08 13:28:42  | [Heartbeat] Failed to ping 127.0.0.1:6882 - timed out
HANDSHAKE_RECV  | 2026-08-08 13:28:55  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:28:55  | Received Bitfield from 127.0.0.1:11792
HANDSHAKE_RECV  | 2026-08-08 13:28:56  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:28:56  | Received Bitfield from 127.0.0.1:11794
ANNOUNCE        | 2026-08-08 13:29:07  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:29:08  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:29:12  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:29:12  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_FAIL       | 2026-08-08 13:29:14  | [Heartbeat] Failed to ping 127.0.0.1:6882 - timed out
ANNOUNCE        | 2026-08-08 13:29:38  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:29:38  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:29:44  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:29:44  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_FAIL       | 2026-08-08 13:29:46  | [Heartbeat] Failed to ping 127.0.0.1:6882 - timed out
ANNOUNCE        | 2026-08-08 13:30:08  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:30:09  | [Transferring_These_Files] Sending periodic update to tracker...
SHUTDOWN_INIT   | 2026-08-08 13:30:10  | Keyboard interrupt received. Deregistering from tracker.
LISTENER_START  | 2026-08-08 13:30:12  | Peer listening for direct connections on port 6881
FILE_CHECK      | 2026-08-08 13:30:13  | Determined status as SEEDER for Transferring_These_Files/sample3.png
FILE_CHECK      | 2026-08-08 13:30:14  | Determined status as LEECHER for Transferring_These_Files
SYSTEM_READY    | 2026-08-08 13:30:15  | All torrent threads processed. Entering heartbeat loop.
HANDSHAKE_RECV  | 2026-08-08 13:30:28  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:30:28  | Received Bitfield from 127.0.0.1:11844
HANDSHAKE_RECV  | 2026-08-08 13:30:29  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:30:29  | Received Bitfield from 127.0.0.1:11846
SHUTDOWN_INIT   | 2026-08-08 13:30:43  | Keyboard interrupt received. Deregistering from tracker.
LISTENER_START  | 2026-08-08 13:31:45  | Peer listening for direct connections on port 6881
FILE_CHECK      | 2026-08-08 13:31:46  | Determined status as SEEDER for Transferring_These_Files/sample3.png
